batch_id,game_id,game_number,timestamp_utc,engine_build,white_engine,black_engine,starting_fen,total_moves,ply,move_number,side_to_move,fen_before,move_uci,move_san,fen_after,piece_type,from_square,to_square,promotion,engine_name,search_algorithm,evaluation_version,depth,evaluation,nodes_searched,leaf_evaluations,transposition_hits,alpha_beta_cutoffs,time_ms,best_move,principal_variation,quiescence_used,move_ordering_used,mobility_term,king_safety_term,used_opening_book,result,termination_reason,result_type
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,47,24,White,8/8/1bP5/4k3/2K4p/7P/4B3/8 w - - 39 24,e2g4,,8/8/1bP5/4k3/2K3Bp/7P/8/8 b - - 40 24,Bishop,e2,g4,,Baseline,MinimaxAB,Baseline_Evaluator,8,100,330769,106086,153589,50924,458.752,e2g4,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,48,24,Black,8/8/1bP5/4k3/2K3Bp/7P/8/8 b - - 40 24,e5e4,,8/8/1bP5/8/2K1k1Bp/7P/8/8 w - - 41 25,King,e5,e4,,Baseline,MinimaxAB,Baseline_Evaluator,8,100,555723,212289,246482,67419,720.558,e5e4,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,49,25,White,8/8/1bP5/8/2K1k1Bp/7P/8/8 w - - 41 25,g4e6,,8/8/1bP1B3/8/2K1k2p/7P/8/8 b - - 42 25,Bishop,g4,e6,,Baseline,MinimaxAB,Baseline_Evaluator,8,100,334861,109946,153545,50635,459.099,g4e6,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,50,25,Black,8/8/1bP1B3/8/2K1k2p/7P/8/8 b - - 42 25,b6a5,,8/8/2P1B3/b7/2K1k2p/7P/8/8 w - - 43 26,Bishop,b6,a5,,Baseline,MinimaxAB,Baseline_Evaluator,8,100,450787,172475,201860,52540,581.066,b6a5,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,51,26,White,8/8/2P1B3/b7/2K1k2p/7P/8/8 w - - 43 26,e6g8,,6B1/8/2P5/b7/2K1k2p/7P/8/8 b - - 44 26,Bishop,e6,g8,,Baseline,MinimaxAB,Baseline_Evaluator,8,100,254586,87814,114001,36381,343.494,e6g8,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,52,26,Black,6B1/8/2P5/b7/2K1k2p/7P/8/8 b - - 44 26,a5d8,,3b2B1/8/2P5/8/2K1k2p/7P/8/8 w - - 45 27,Bishop,a5,d8,,Baseline,MinimaxAB,Baseline_Evaluator,8,110,254531,99575,107500,32973,344.250,a5d8,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,53,27,White,3b2B1/8/2P5/8/2K1k2p/7P/8/8 w - - 45 27,g8h7,,3b4/7B/2P5/8/2K1k2p/7P/8/8 b - - 46 27,Bishop,g8,h7,,Baseline,MinimaxAB,Baseline_Evaluator,8,100,240423,82759,107007,35997,332.176,g8h7,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,54,27,Black,3b4/7B/2P5/8/2K1k2p/7P/8/8 b - - 46 27,e4e5,,3b4/7B/2P5/4k3/2K4p/7P/8/8 w - - 47 28,King,e4,e5,,Baseline,MinimaxAB,Baseline_Evaluator,9,90,326648,98918,154482,55212,437.073,e4e5,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,55,28,White,3b4/7B/2P5/4k3/2K4p/7P/8/8 w - - 47 28,c4d3,,3b4/7B/2P5/4k3/7p/3K3P/8/8 b - - 48 28,King,c4,d3,,Baseline,MinimaxAB,Baseline_Evaluator,8,95,282308,95824,123834,44781,399.372,c4d3,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
20260421_115453,20260421_115453_g1,1,2026-04-21T11:55:55.1937470Z,1.0,Baseline,Baseline,3k4/2n2B2/1KP5/2B2p2/7p/6bP/8/8 w - - 1 1,43,56,28,Black,3b4/7B/2P5/4k3/7p/3K3P/8/8 b - - 48 28,d8a5,,8/7B/2P5/b3k3/7p/3K3P/8/8 w - - 49 29,Bishop,d8,a5,,Baseline,MinimaxAB,Baseline_Evaluator,8,100,425844,164662,187958,50846,554.245,d8a5,,False,True,0,100,False,1/2-1/2,Draw by threefold repetition.,DrawThreefoldRepetition
